Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,data\Piranha.Data.EF.SQLite\Piranha.Data.EF.SQLite.csproj,File,data\Piranha.Data.EF.SQLite\Piranha.Data.EF.SQLite.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,data\Piranha.Data.EF.SQLServer\Piranha.Data.EF.SQLServer.csproj,File,data\Piranha.Data.EF.SQLServer\Piranha.Data.EF.SQLServer.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 8.0.0,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,data\Piranha.Data.EF.SQLServer\Piranha.Data.EF.SQLServer.csproj,File,data\Piranha.Data.EF.SQLServer\Piranha.Data.EF.SQLServer.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,core\Piranha.ImageSharp\Piranha.ImageSharp.csproj,File,core\Piranha.ImageSharp\Piranha.ImageSharp.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,core\Piranha.Local.FileStorage\Piranha.Local.FileStorage.csproj,File,core\Piranha.Local.FileStorage\Piranha.Local.FileStorage.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,core\Piranha.Manager\Piranha.Manager.csproj,File,core\Piranha.Manager\Piranha.Manager.csproj,,,Microsoft.AspNetCore.Mvc.NewtonsoftJson 8.0.0,,,,,"Microsoft.AspNetCore.Mvc.NewtonsoftJson, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.Mvc.NewtonsoftJson, and replace with new package Microsoft.AspNetCore.Mvc.NewtonsoftJson 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,core\Piranha.Manager\Piranha.Manager.csproj,File,core\Piranha.Manager\Piranha.Manager.csproj,,,Microsoft.Extensions.FileProviders.Embedded 8.0.0,,,,,"Microsoft.Extensions.FileProviders.Embedded, 8.0.0  Recommendation:  Remove Microsoft.Extensions.FileProviders.Embedded, and replace with new package Microsoft.Extensions.FileProviders.Embedded 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,core\Piranha.Manager\Piranha.Manager.csproj,File,core\Piranha.Manager\Piranha.Manager.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,core\Piranha.Manager.LocalAuth\Piranha.Manager.LocalAuth.csproj,File,core\Piranha.Manager.LocalAuth\Piranha.Manager.LocalAuth.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,core\Piranha.Manager.Localization\Piranha.Manager.Localization.csproj,File,core\Piranha.Manager.Localization\Piranha.Manager.Localization.csproj,,,Microsoft.Extensions.Localization 8.0.0,,,,,"Microsoft.Extensions.Localization, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Localization, and replace with new package Microsoft.Extensions.Localization 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,core\Piranha.Manager.Localization\Piranha.Manager.Localization.csproj,File,core\Piranha.Manager.Localization\Piranha.Manager.Localization.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,test\Piranha.Manager.Tests\Piranha.Manager.Tests.csproj,File,test\Piranha.Manager.Tests\Piranha.Manager.Tests.csproj,,,xunit 2.7.0,,,,,"xunit, 2.7.0  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\Piranha.Manager.Tests\Piranha.Manager.Tests.csproj,File,test\Piranha.Manager.Tests\Piranha.Manager.Tests.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,core\Piranha.Manager.TinyMCE\Piranha.Manager.TinyMCE.csproj,File,core\Piranha.Manager.TinyMCE\Piranha.Manager.TinyMCE.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,test\Piranha.Tests\Piranha.Tests.csproj,File,test\Piranha.Tests\Piranha.Tests.csproj,,,xunit 2.7.0,,,,,"xunit, 2.7.0  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,test\Piranha.Tests\Piranha.Tests.csproj,File,test\Piranha.Tests\Piranha.Tests.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,core\Piranha.WebApi\Piranha.WebApi.csproj,File,core\Piranha.WebApi\Piranha.WebApi.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,examples\RazorWeb\RazorWeb.csproj,File,examples\RazorWeb\RazorWeb.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
